num,address,point/0,point/1
2118,"117312, город Москва, ЮЗАО, Академический район, Вавилова ул., дом 17",55.7018599,37.5805135
2120,"117449, город Москва, ЮЗАО, Академический район, Шверника ул., дом 17, корп.2",55.69235,37.592989
2121,"117449, город Москва, ЮЗАО, Академический район, Шверника ул., дом 17, корп. 2",55.69235,37.592989
2122,"117036, город Москва, ЮЗАО, Академический район, Гримау ул., дом 8",55.690847,37.579226
2123,"117036, город Москва, ЮЗАО, Академический район, Гримау ул., дом 8",55.690847,37.579226
2125,"117449, город Москва, ЮЗАО, Академический район, Новочеремушкинская ул., дом 3",55.68686899999999,37.583897
2126,"117447, город Москва, ЮЗАО, Академический район, Новочеремушкинская ул., дом 11А",55.68686899999999,37.583897
2127,"117447, город Москва, ЮЗАО, Академический район, Ульянова Дмитрия ул., дом 35",55.6829388,37.5886545
2128,"117036, город Москва, ЮЗАО, Академический район, Гримау ул., дом 11А",55.68512699999999,37.574267
2129,"117447, город Москва, ЮЗАО, Академический район, Ульянова Дмитрия ул., дом 35",55.6829388,37.5886545
2130,"117218, город Москва, ЮЗАО, Академический район, Черемушкинская Б. ул., дом 32, корп. 2",55.6919039,37.5980378
2131,"117218, город Москва, ЮЗАО, Академический район, Черемушкинская Б. ул., дом 38",55.680786,37.5840354
2132,"117218, город Москва, ЮЗАО, Академический район, Черемушкинская Б. ул., дом 38",55.680786,37.5840354
2133,"117036, город Москва, ЮЗАО, Академический район, Ульянова Дмитрия ул., дом 26",55.6829388,37.5886545
2134,"117036, город Москва, ЮЗАО, Академический район, Кедрова ул., дом 11",55.68512699999999,37.574267
2135,"117218, город Москва, ЮЗАО, Академический район, Профсоюзная ул., дом 9 А",55.682044,37.5708541
2136,"117218, город Москва, ЮЗАО, Академический район, Профсоюзная ул., дом 9 А",55.682044,37.5708541
2137,"117292, город Москва, ЮЗАО, Академический район, Кржижановского ул., дом 30",55.6789705,37.5726179
2138,"117218, город Москва, ЮЗАО, Академический район, Профсоюзная ул., дом 15 А",55.6809875,37.5681816
2139,"117292, город Москва, ЮЗАО, Академический район, Профсоюзная ул., дом 24, корп. 4",55.6809875,37.5681816
2140,"117292, город Москва, ЮЗАО, Академический район, Кржижановского ул., дом 4 А",55.6789705,37.5726179
2141,"117292, город Москва, ЮЗАО, Академический район, Бабушкина Ивана ул., дом 15, корп. 5",55.6844425,37.565912
2142,"117292, город Москва, ЮЗАО, Академический район, Бабушкина Ивана ул., дом 15, корп. 5",55.6844425,37.565912
2143,"117312, город Москва, ЮЗАО, Академический район, Кедрова ул., дом 5, корп. 1",55.6870224,37.5670778
2144,"117312, город Москва, ЮЗАО, Академический район, Кедрова ул., дом 5, корп. 1",55.6870224,37.5670778
2146,"117036, город Москва, ЮЗАО, Академический район, Ульянова Дмитрия ул., дом 15, корп. 1",55.6829388,37.5886545
3737,"117292, город Москва, ЮЗАО, Академический район, Вавилова ул., дом 61",55.687456,37.5580394
3738,"117036, город Москва, ЮЗАО, Академический район, Ульянова Дмитрия ул., дом 11",55.6902061,37.5691947
480,"129626, город Москва, СВАО, Алексеевский район, Кучин пер., дом 14",55.8039979,37.6395256
481,"129626, город Москва, СВАО, Алексеевский район, Новоалексеевская, дом 8",55.8102385,37.639736
488,"129164, город Москва, СВАО, Алексеевский район, Кибальчича ул., дом 6, корп. 3",55.815577,37.6471141
490,"129626, город Москва, СВАО, Алексеевский район, Новоалексеевская ул., дом 6",55.8082776,37.6438237
491,"129626, город Москва, СВАО, Алексеевский район, Староалексеевская ул., дом 1",55.810171,37.6440881
494,"129164, город Москва, СВАО, Алексеевский район, Мира просп., дом 128",55.802147,37.6368873
495,"129366, город Москва, СВАО, Алексеевский район, Ярославская ул., дом 17, корп. 2",55.823595,37.6482041
496,"129301, город Москва, СВАО, Алексеевский район, Ярославская ул., дом 27",55.8273143,37.6530705
497,"129301, город Москва, СВАО, Алексеевский район, Ярославская ул., дом 14 стр 2",55.8156843,37.6469361
499,"129301, город Москва, СВАО, Алексеевский район, Касаткина ул., дом 15",55.8258744,37.6573503
3655,"129301, город Москва, СВАО, Алексеевский район, Касаткина ул., дом 7",55.8258744,37.6573503
500,"127410, город Москва, СВАО, Алтуфьевский район, Путевой пр., дом 10А",55.8743609,37.5764248
501,"127410, город Москва, СВАО, Алтуфьевский район, Путевой пр., дом 10А",55.8743609,37.5764248
502,"127410, город Москва, СВАО, Алтуфьевский район, Путевой пр., дом 10А",55.8743609,37.5764248
507,"127549, город Москва, СВАО, Алтуфьевский район, Бибиревская ул., дом 5",55.882391,37.596965
508,"127549, город Москва, СВАО, Алтуфьевский район, Бибиревская ул., дом 5",55.882391,37.596965
509,"127549, город Москва, СВАО, Алтуфьевский район, Алтуфьевское шоссе, дом 60Б",55.88089,37.5893141
510,"127549, город Москва, СВАО, Алтуфьевский район, Алтуфьевское шоссе, дом 60Б",55.88089,37.5893141
514,"129344, город Москва, СВАО, Бабушкинский район, Коминтерна ул., дом 4 корп.1",55.86099609999999,37.67542299999999
531,"129344, город Москва, СВАО, Бабушкинский район, Енисейская ул., дом 32, корп. 3",55.856578,37.6640151
532,"129344, город Москва, СВАО, Бабушкинский район, Енисейская ул., дом 32, корп. 3",55.856578,37.6640151
10,"101000, город Москва, ЦАО, Басманный район, Армянский пер., дом 3-5, стр. 9",55.7608751,37.63550439999999
11,"101000, город Москва, ЦАО, Басманный район, Трехсвятительский Б. пер., дом 4",55.7549941,37.6461728
12,"101000, город Москва, ЦАО, Басманный район, Потаповский пер., дом 16, стр.10",55.7595727,37.6403404
21,"107078, город Москва, ЦАО, Басманный район, Басманная Нов. ул., дом 4-6, стр. 4",55.769578,37.656298
22,"105066, город Москва, ЦАО, Басманный район, Басманная Стар. ул., дом 35",55.7704787,37.668696
23,"105066, город Москва, ЦАО, Басманный район, Токмаков пер., дом 8",55.768097,37.66926
25,"105005, город Москва, ЦАО, Басманный район, Лефортовский пер., дом 10",55.769388,37.67793
34,"105094, город Москва, ЦАО, Басманный район, Семеновская наб., дом 3/1, корп. 5",55.781005,37.701423
36,"105094, город Москва, ЦАО, Басманный район, Госпитальный вал ул., дом 5, корп. 18",55.7742802,37.7044481
3601,"105229, город Москва, ЦАО, Басманный район, Госпитальная пл., дом 3",55.7692028,37.6970948
3603,"105066, город Москва, ЦАО, Басманный район, Басманная Нов. ул., дом 26",55.769578,37.656298
3604,"105005, город Москва, ЦАО, Басманный район, Бауманская ул., дом 17/1",55.7755485,37.6786419
3609,"101000, город Москва, ЦАО, Басманный район, Сверчков пер., дом 5",55.7606201,37.6394713
