num,address,point/0,point/1
33,"191180, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, Большой Казачий пер., д.5, (муниципальное образование МО Семёновский)",59.923564,30.327665
34,"191180, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, Большой Казачий пер., д.5, (муниципальное образование МО Семёновский)",59.923564,30.327665
35,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, ул. Можайская, д.1, (ГКУ """"Централизованная бухгалтерия администрации Адмиралтейского района Санкт-Петербурга"""")",,
36,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, ул. Можайская, д.1, (ГКУ """"Централизованная бухгалтерия администрации Адмиралтейского района Санкт-Петербурга"""")",,
37,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, ул. Можайская, д.1, (ГКУ """"Централизованная бухгалтерия администрации Адмиралтейского района Санкт-Петербурга"""")",,
38,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, ул. Можайская, д.1, (ГКУ """"Централизованная бухгалтерия администрации Адмиралтейского района Санкт-Петербурга"""")",,
39,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, ул. Можайская, д.1, (ГКУ """"Централизованная бухгалтерия администрации Адмиралтейского района Санкт-Петербурга"""")",,
40,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, ул. Бронницкая, д.34, (ГБОУ школа №552)",,
41,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, ул. Можайская, д.1, (ГКУ """"Централизованная бухгалтерия администрации Адмиралтейского района Санкт-Петербурга"""")",,
42,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, ул. 5-я Красноармейская, д.23/27, (ГБОУ СОШ №266)",,
43,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, Советский пер., д.4, (ГБОУ лицей №281)",,
44,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, наб. р. Фонтанки, д.134 а, (ГБОУ ДППО центр повышения квалификации специалистов Адмиралтейского района Санкт-Петербурга """"Информационно-методический центр"""")",,
45,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, наб. р. Фонтанки, д.134 а, (ГБОУ ДППО центр повышения квалификации специалистов Адмиралтейского района Санкт-Петербурга """"Информационно-методический центр"""")",,
46,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, ул. 10-я Красноармейская, д.5 а, (ГБОУ Лицей №281)",,
47,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, ул. 5-я Красноармейская, д.23/27, (ГБОУ СОШ №266)",,
