num,address,point/0,point/1
48,"420021, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Карима Тинчурина, д.3 (здание школы №51)",55.7788713,49.1047038
49,"420021, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Ахтямова, д.26а (здание школы №13)",55.7745268,49.1123592
50,"420021, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Ахтямова, д.26а (здание школы №13)",55.7745268,49.1123592
51,"420108, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Мазита Гафури, д.34а (здание татарской гимназии №1)",55.7696127,49.1027042
52,"420108, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Мазита Гафури, д.34а (здание татарской гимназии №1)",55.7696127,49.1027042
54,"420111, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Горького, д.16/7 (здание гимназии №3)",55.79366539999999,49.1320814
55,"420012, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Карла Маркса, д.68 (здание технологического университета)",55.7944994,49.1412513
56,"420012, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Муштари, д.6 (здание школы №18)",55.7889674,49.13756480000001
57,"420012, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Катановский переулок, д.1 (здание кадетской школы №6)",55.78490799999999,49.130828
58,"420012, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Волкова, д.3 (здание лицея №5)",55.7820316,49.1333227
59,"420107, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Хади Такташа, д.81 (здание школы №41)",55.7731767,49.1334651
60,"420107, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Хади Такташа, д.81 (здание школы №41)",55.7731767,49.1334651
61,"420107, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Нурсултана Назарбаева, д.48  (здание гимназии №27)",55.77271769999999,49.1380606
62,"420043, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Зеленая, д.1 (здание архитектурно-строительного университета)",55.7832461,49.1435491
63,"420097, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Достоевского, д.51а (здание гимназии №96)",55.78919570000001,49.1493368
64,"420097, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Достоевского, д.51 (здание гимназии №96)",55.78919570000001,49.1493368
65,"420097, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Достоевского, д.51(здание гимназии №96)",55.78919570000001,49.1493368
66,"420061, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Николая Ершова, д.30 (здание общежития КНИТИ им.Туполева-КАИ)",55.79287739999999,49.1642567
67,"420097, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Достоевского, д.79 (здание гимназии №28)",55.78774600000001,49.1572898
70,"420097, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Амирхана Еники, д.23 (здание школы №98)",55.78327969999999,49.1547199
71,"420097, Республика Татарстан (Татарстан), г.Казань, Вахитовский район, ул.Амирхана Еники, д.23 (здание школы №98)",55.78327969999999,49.1547199
